id,name,sku,price,regular_price,sale_price,on_sale,in_stock,categories,permalink,image_url
9841,Oxygen Concentrator Kenya 5 Litres Duo Flow,,70000.00,70000.00,70000.00,False,True,HOME CARE EQUIPMENT,https://alphasurgicals.co.ke/product/oxygen-concentrator-kenya-5-litres-duo-flow/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/H2666dd75e386429c9c57cb6cc875e4a5Y-min.webp
9837,Doctors Stool Kenya,,12000.00,12000.00,12000.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/doctors-stool-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/WhatsApp-Image-2025-10-27-at-19.28.26.jpeg
9831,Stainless Steel Nursery Baby Bassinet Cot,,20000.00,20000.00,20000.00,False,True,HOME CARE EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/stainless-steel-nursery-baby-bassinet-cot/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/H624699db202b44c2a367b62e1781a5d2K.jpg
9827,Ambulance Stretcher,,70000.00,70000.00,70000.00,False,True,,https://alphasurgicals.co.ke/product/ambulance-stretcher/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/Loading-Ambulance-Stretcher.webp
9820,Orthopedic Bed 3 Crank Manual,,120000.00,130000.00,120000.00,True,True,,https://alphasurgicals.co.ke/product/orthopedic-bed-3-crank-manual/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/2048-202006171040118235.jpg
9815,Walking Stick (Height Adjustable),,1000.00,1000.00,1000.00,False,True,,https://alphasurgicals.co.ke/product/walking-stick-height-adjustable/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/4.png
9813,Tripod Walking Stick,,2000.00,2000.00,2000.00,False,True,CRUTCHES &amp; WALKING AIDS; WALKING FRAMES,https://alphasurgicals.co.ke/product/tripod-walking-stick/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/1-5-1.jpg
9810,Quadpod Walking Stick,,2000.00,2000.00,2000.00,False,True,CRUTCHES &amp; WALKING AIDS; WALKING FRAMES,https://alphasurgicals.co.ke/product/quadpod-walking-stick/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/1-6-1.jpg
9802,Autoclave Machine 24 Litres,,27000.00,30000.00,27000.00,True,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/autoclave-machine-24-litres/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/24l-autoclave.webp
9797,Autoclave Machine 50 Litres (Manual),,160000.00,160000.00,160000.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/autoclave-machine-50-litres-manual/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/autoclave-50lts.webp
9795,Vaccine Refrigerator in Kenya,,160000.00,160000.00,160000.00,False,True,LABORATORY EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/vaccine-refrigerator-in-kenya/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/WhatsApp-Image-2025-10-27-at-17.59.00.jpeg
9790,Emergency Crash Cart (Procedure Trolley),,70000.00,70000.00,70000.00,False,True,,https://alphasurgicals.co.ke/product/emergency-crash-cart-procedure-trolley/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/81R72k1gSL._AC_SL1500_.jpg
9780,Infant Phototherapy Lamp,,75000.00,75000.00,75000.00,False,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/infant-phototherapy-lamp/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/20251023_173502-scaled.jpg
9776,Infant Incubator BIN-3000BS With Phototherapy Light,,290000.00,290000.00,290000.00,False,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/infant-incubator-bin-3000bs-with-phototherapy-light/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/IMG-20251027-WA0007.jpg
9773,Infant Incubator (BIN-3000B) With Cabinets,,320000.00,320000.00,320000.00,False,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/infant-incubator-bin-3000b/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/Untitled-design-5.png
9769,"Hematology Analyzer EXCBIO EH8300 Automatic, 3 Part, 24 Parameter, 60 tests/hr",,390000.00,390000.00,390000.00,False,True,MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/hematology-analyzer-excbio-eh8300-automatic-3-part-24-parameter-60-tests-hr/,https://alphasurgicals.co.ke/wp-content/uploads/2025/10/Untitled-design-4.png
9737,Pulse Oximeter Handheld,,14000.00,15000.00,14000.00,True,True,HOME CARE EQUIPMENT; MEDICAL EQUIPMENT,https://alphasurgicals.co.ke/product/pulse-oximeter-handheld/,https://alphasurgicals.co.ke/wp-content/uploads/2025/09/oksimeter-contec-2.jpg
9724,Emergency ABS Stretcher,,99000.00,120000.00,99000.00,True,True,,https://alphasurgicals.co.ke/product/emergency-abs-stretcher/,https://alphasurgicals.co.ke/wp-content/uploads/2025/09/abs-stretcher-1000x1000-1.jpg
9721,Anaesthesia Machine Kenya AM832,,899000.00,1000000.00,899000.00,True,True,NOVEMBER BLACK FRIDAY 2025; OPERATING THEATRE EQUIPMENT,https://alphasurgicals.co.ke/product/anaesthesis-machine-kenya-am832/,https://alphasurgicals.co.ke/wp-content/uploads/2025/09/89879-17008466.jpg
7612,Walking Frame Without Wheels,,4500.00,4500.00,4500.00,False,True,HOME CARE EQUIPMENT; WALKING FRAMES; WHEELCHAIRS,https://alphasurgicals.co.ke/product/7612/,https://alphasurgicals.co.ke/wp-content/uploads/2025/03/2306-202312041551170030.jpg
7140,Plastic Urinal Bottle,,500.00,500.00,500.00,False,True,HOME CARE EQUIPMENT,https://alphasurgicals.co.ke/product/plastic-urinal-bottle/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/WhatsApp-Image-2025-02-22-at-15.30.27_dc6f19aa-scaled.jpg
7139,Plastic Bed Pan,,800.00,800.00,800.00,False,True,HOME CARE EQUIPMENT,https://alphasurgicals.co.ke/product/plastic-bed-pan/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/plastic-bed-pan.jpg
7138,Commode Chair Without Castors,,8000.00,8000.00,8000.00,False,True,HOME CARE EQUIPMENT; WHEELCHAIRS,https://alphasurgicals.co.ke/product/commode-seat-without-castors/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/commode-seat-with-backrest-1.jpg
7137,Foldable Commode Seat,,5000.00,5000.00,5000.00,False,True,HOME CARE EQUIPMENT; WHEELCHAIRS,https://alphasurgicals.co.ke/product/collapsible-commode-seat/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/collapsible-commode-chair.png
7136,Extra Wide Commode Wheelchair,,21000.00,21000.00,21000.00,False,True,WHEELCHAIRS,https://alphasurgicals.co.ke/product/extra-wide-commode-wheelchair/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/Exreawide-Commode-5.jpg
7113,Vacuum Blood Collection Tubes- Yellow Top,,1000.00,1000.00,1000.00,False,True,LABORATORY EQUIPMENT,https://alphasurgicals.co.ke/product/yellow-top-tubes/,https://alphasurgicals.co.ke/wp-content/uploads/2024/10/yellow-tube.webp
